name,style,beer_id,num_files
Längst (Blend #1),ADAMBIER,1812246,16
Adam from the Wood,ADAMBIER,56015,16
Cherry Adam from the Wood,ADAMBIER,13667,16
Adam from the Wood - Rye (2015),ADAMBIER,1110520,16
Bishop's Barrel No. 17,ADAMBIER,1977928,16
Adam,ADAMBIER,869,16
Adam from the Wood OA,ADAMBIER,1740658,16
ADAM - Old World Ale,ADAMBIER,1283735,16
Adam from the Wood (Single Malt Scotch),ADAMBIER,771481,16
Big Smoosh,ADAMBIER,3012378,16
Dortmunder Adambier,ADAMBIER,1144195,16
Adambier,ADAMBIER,2615773,16
Arcanum (Singularis #1) (Hillrock Estate Solera Whiskey Barrel),ADAMBIER,957953,16
Throtmanni,ADAMBIER,4073153,16
Thurston Adambier,ADAMBIER,602711,16
Adambier Vin Rouge 2018 (Vox Dei),ADAMBIER,3001619,16
Cherry Adambier,ADAMBIER,2714716,16
Affluenza,ADAMBIER,3878333,16
Pantomime Horse,ADAMBIER,1408022,16
Batch #100,ADAMBIER,4623597,16
Adam from the Stone,ADAMBIER,1265214,16
Wildfire Adambier,ADAMBIER,672494,16
Adambier,ADAMBIER,1836367,16
Freunde in Franken!,ADAMBIER,4198792,16
"The Long, the Short & the Tall of It",ADAMBIER,2386352,16
Wild Sour Series: Adambier,ADAMBIER,570861,16
Universal Mind,ADAMBIER,1733074,16
Methusalem Johannisburger,ADAMBIER,994199,16
Dutch Adam,ADAMBIER,2539901,16
Deacon's Nightcap,ADAMBIER,1996022,16
Spelunkenheimer [Bourbon Barrel Aged],ADAMBIER,4488939,16
Methusalem,ADAMBIER,393222,16
The Glass Key,ADAMBIER,1822476,16
OTTO,ADAMBIER,4567864,16
Baby Schläger,ADAMBIER,1996666,16
Adambier,ADAMBIER,1761820,16
Adambier,ADAMBIER,1844408,16
Adambier,ADAMBIER,867436,16
DBB Adam,ADAMBIER,354374,16
Who The F% Is Adam,ADAMBIER,3361320,16
DBB Adam Eichenbock,ADAMBIER,2065313,16
Methusalem Holunderheimer,ADAMBIER,848374,16
.,ADAMBIER,1023222,16
Du Hast Mich Gefrogt! German-style Sour Dark Adambier,ADAMBIER,1950585,16
Bastogne 44,ADAMBIER,3460020,16
"Brown Ale ""YOUNG ADAM""",ADAMBIER,2897647,16
Estimation,ALTBIER,3666642,16
Stet,ALTBIER,4060195,16
Bourbon Barrel Aged Balt The More,ALTBIER,1165161,16
Barrel Roll No. 7 - Tailslide (2013),ALTBIER,394825,16
Amber Apple Pie Ale,ALTBIER,2261169,16
DoppelSticke Edition 1862 (Whisky Barrel Aged),ALTBIER,793247,16
Stasis,ALTBIER,4568877,16
subs.tân.ci.a antiga,ALTBIER,3374111,16
Alt-eration (Bourbon Barrel Aged),ALTBIER,199472,16
Fortuna Altbier,ALTBIER,4267965,16
At Ease,ALTBIER,4025939,16
Prairie Ghost,ALTBIER,4182992,16
Anodyne,ALTBIER,4248897,16
DoppelSticky,ALTBIER,1231215,16
Rumours,ALTBIER,4704133,16
Uber Alt (Barrel Aged),ALTBIER,2358358,16
Doppelsticke Altbier,ALTBIER,3933763,16
Donnyllama Doppelsticke,ALTBIER,3563174,16
Stiegl-Jahrgangsbier 2014 Ferdinand,ALTBIER,913829,16
Alpha Hop Society 2017: Scotch Barrel-Aged Sticke,ALTBIER,1961128,16
Altbier,ALTBIER,3086543,16
